Team_Name,Arena,Location,Capacity
76ers,Wells Fargo Center,"Philadelphia, Pennsylvania","20,328"
Bucks,BMO Harris Bradley Center,"Milwaukee, Wisconsin","18,717"
Bulls,United Center,"Chicago, Illinois","20,917"
Cavaliers,Quicken Loans Arena,"Cleveland, Ohio","20,562"
Celtics,TD Garden,"Boston, Massachusetts","18,624"
Clippers,Staples Center,"Los Angeles, California","19,060"
Grizzlies,FedExForum,"Memphis, Tennessee","18,119"
Hawks,Philips Arena,"Atlanta, Georgia","18,118"
Heat,American Airlines Arena,"Miami, Florida","19,600"
Hornets,Time Warner Cable Arena,"Charlotte, North Carolina","19,077"
Jazz,Vivint Smart Home Arena,"Salt Lake City, Utah","19,911"
Kings,Sleep Train Arena,"Sacramento, California","17,317"
Knicks,Madison Square Garden,"New York City, New York","19,812"
Lakers,Staples Center,"Los Angeles, California","18,997"
Magic,Amway Center,"Orlando, Florida","18,846"
Mavericks,American Airlines Center,"Dallas, Texas","19,200"
Nets,Barclays Center,"New York City, New York","17,732"
Nuggets,Pepsi Center,"Denver, Colorado","19,155"
Pacers,Bankers Life Fieldhouse,"Indianapolis, Indiana","18,165"
Pelicans,Smoothie King Center,"New Orleans, Louisiana","16,867"
Pistons,The Palace of Auburn Hills,"Auburn Hills, Michigan","21,165"
Raptors,Air Canada Centre,"Toronto, Ontario, Canada","19,800"
Rockets,Toyota Center,"Houston, Texas","18,055"
Spurs,AT&T Center,"San Antonio, Texas","18,418"
Suns,Talking Stick Resort Arena,"Phoenix, Arizona","18,422"
Thunder,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203"
Timberwolves,Target Center,"Minneapolis, Minnesota","19,356"
Trail Blazers,Moda Center,"Portland, Oregon","19,980"
Warriors,Oracle Arena,"Oakland, California","19,596"
Wizards,Verizon Center,"Washington, D.C.","20,356"